Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Location,TXT,Location-point,Matrix of word-grams occurrences,point,,,0.0
Location,TXT,Location-powell,Matrix of word-grams occurrences,powell,,,0.0
Location,TXT,Location-plains apt,Matrix of word-grams occurrences,plains apt,,,0.0
Location,TXT,Location-plains,Matrix of word-grams occurrences,plains,,,0.0
Location,TXT,Location-plain suite,Matrix of word-grams occurrences,plain suite,,,0.0
Location,TXT,Location-plain,Matrix of word-grams occurrences,plain,,,0.0
Location,TXT,Location-place apt,Matrix of word-grams occurrences,place apt,,,0.0
Location,TXT,Location-place lake,Matrix of word-grams occurrences,place lake,,,0.0
Location,TXT,Location-place,Matrix of word-grams occurrences,place,,,0.0
Location,TXT,Location-plaza apt,Matrix of word-grams occurrences,plaza apt,,,0.0
Location,TXT,Location-plaza,Matrix of word-grams occurrences,plaza,,,0.0
Location,TXT,Location-pine apt,Matrix of word-grams occurrences,pine apt,,,0.0
Location,TXT,Location-pines,Matrix of word-grams occurrences,pines,,,0.0
Location,TXT,Location-pine,Matrix of word-grams occurrences,pine,,,0.0
Location,TXT,Location-pike,Matrix of word-grams occurrences,pike,,,0.0
Location,TXT,Location-perry fpo,Matrix of word-grams occurrences,perry fpo,,,0.0
Location,TXT,Location-perry,Matrix of word-grams occurrences,perry,,,0.0
Location,TXT,Location-perez,Matrix of word-grams occurrences,perez,,,0.0
Location,TXT,Location-prairie apt,Matrix of word-grams occurrences,prairie apt,,,0.0
Location,TXT,Location-prairie,Matrix of word-grams occurrences,prairie,,,0.0
Location,TXT,Location-pr,Matrix of word-grams occurrences,pr,,,0.0
Location,TXT,Location-phillips,Matrix of word-grams occurrences,phillips,,,0.0
Location,TXT,Location-psc,Matrix of word-grams occurrences,psc,,,0.0
Location,TXT,Location-pw,Matrix of word-grams occurrences,pw,,,0.0
Location,TXT,Location-road south,Matrix of word-grams occurrences,road south,,,0.0
Location,TXT,Location-road suite,Matrix of word-grams occurrences,road suite,,,0.0
Location,TXT,Location-road apt,Matrix of word-grams occurrences,road apt,,,0.0
Location,TXT,Location-roads,Matrix of word-grams occurrences,roads,,,0.0
Location,TXT,Location-road,Matrix of word-grams occurrences,road,,,0.0
Location,TXT,Location-robertshire,Matrix of word-grams occurrences,robertshire,,,0.0
Location,TXT,Location-robertview,Matrix of word-grams occurrences,robertview,,,0.0
Location,TXT,Location-robert,Matrix of word-grams occurrences,robert,,,0.0
Location,TXT,Location-robinson,Matrix of word-grams occurrences,robinson,,,0.0
Location,TXT,Location-rodriguez,Matrix of word-grams occurrences,rodriguez,,,0.0
Location,TXT,Location-ronald,Matrix of word-grams occurrences,ronald,,,0.0
Location,TXT,Location-ross,Matrix of word-grams occurrences,ross,,,0.0
